peptide_id,sequence_length,n_trp,n_tyr,n_phe,n_pro,epsilon_214_published,purity,aaa_ratio,aaa_cv,actual_concentration,rt,height,area,conc_u_m,hplc_dilution_factor,batch,aaa_adj,hplc_conc_raw,hplc_df,hplc_adj,purity_num,diff_adj,mean_xy,ratio,diff_pct_relAAA,diff_pct_of_mean,log2fc,pct_diff
PEP-0011,7,0,0,1,0,11100,100.0,0.82775,10.4354274818214,1.6555,12.7013333333333,1019.93399855135,168.156978032086,50.4975910006264,5,1,1655.5,50.4975910006264,5,757.463865009396,100.0,-898.036134990604,1206.481932504698,0.4575438628869804,-54.24561371130196,-74.43427960220258,-1.1280180394990045,-54.24561371130196
PEP-0027,7,0,1,0,0,16420,98.366,0.68835,18.9176956704792,1.354204722,,,332.924715611443,67.5852041436142,5,1,1354.204722,67.5852041436142,5,1013.7780621542132,98.366,-340.42665984578684,1183.9913920771064,0.7486150695568267,-25.13849304431733,-28.75246071245228,-0.4177040050303575,-25.13849304431733
PEP-0079,7,0,0,0,0,5832,1.0,0.55065,16.7441780958725,1.1013,10.2665,253.885526332825,36.1871427156293,20.6830948306066,5,4,1101.3,20.6830948306066,5,310.246422459099,1.0,-791.053577540901,705.7732112295495,0.2817092730946146,-71.82907269053855,-112.0832535089823,-1.8277210408393247,-71.82907269053855
PEP-0287,16,0,0,0,0,24909,0.90703,0.541285714,11.75285348,1.082571428,9.7475,1229.58489068514,449.476587996294,60.1491546557863,5,6,1082.571428,60.1491546557863,5,902.2373198367944,0.90703,-180.33410816320557,992.4043739183973,0.8334205914741678,-16.65794085258322,-18.171434236144744,-0.262883349477723,-16.65794085258322
PEP-0084,7,0,0,0,0,5926,1.0,0.5253,15.9658570912634,1.0506,10.5546666666667,309.837808398932,43.9339473482323,24.7125364766747,5,4,1050.6,24.7125364766747,5,370.6880471501205,1.0,-679.9119528498794,710.6440235750601,0.3528346156007239,-64.71653843992762,-95.67546201675266,-1.5029359883408575,-64.71653843992762
PEP-0080,7,0,0,1,0,11171,0.93433,0.462875,15.3039485383516,0.8649559975,10.4683333333333,430.445640925094,72.4008921366913,21.6038230348495,5,4,864.9559975,21.6038230348495,5,324.05734552274254,0.93433,-540.8986519772575,594.5066715113712,0.3746518279072833,-62.53481720927168,-90.9827724224137,-1.4163776045622736,-62.53481720927168
PEP-0068,7,0,1,0,0,11236,0.95914,0.448375,14.6506281053215,0.860108795,9.8045,656.678297521779,90.15314361731,26.7453256251661,5,4,860.108795,26.7453256251661,5,401.1798843774915,0.95914,-458.9289106225085,630.6443396887457,0.4664292316386457,-53.35707683613542,-72.77143101752291,-1.1002698882130395,-53.35707683613542
PEP-0009,7,0,0,1,1,18976,92.488,0.4545,7.96193932793057,0.84071592,11.162,1290.77302201226,177.975403788121,36.3935553622725,5,1,840.71592,36.3935553622725,5,545.9033304340875,92.488,-294.8125895659125,693.3096252170437,0.649331501221111,-35.06684987788889,-42.52250060333723,-0.622972893911188,-35.06684987788889
PEP-0289,16,0,1,0,0,35205,0.34535,0.4153,16.15480879,0.8306,,,487.951128461922,46.2009305933742,5,6,830.6,46.2009305933742,5,693.013958900613,0.34535,-137.586041099387,761.8069794503065,0.834353429930909,-16.5646570069091,-18.060485767492484,-0.2612694598996821,-16.5646570069091
PEP-0077,7,0,1,0,0,11153,0.96733,0.4123125,17.7893558151096,0.79768450125,9.867,584.382691443436,89.6174433760607,26.7842563663172,5,4,797.68450125,26.7842563663172,5,401.763845494758,0.96733,-395.920655755242,599.724173372379,0.5036625945034406,-49.63374054965595,-66.01712476068697,-0.9894705045071792,-49.63374054965595
